FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
38,12300,9128982,426300.00,417181.58,10667.33,38,1,,0,2862,Amort,20140501,1,1,10605.11,51,1.00,N,Y,
38,12300,9128982,426300.00,408063.16,10667.33,38,2,,0,2862,Amort,20140601,2,2,8166.37,51,2.00,N,Y,
38,12300,9128982,426300.00,398944.74,10667.33,38,3,,0,2862,Amort,20140701,3,3,8214.28,51,3.00,N,Y,
38,12300,9128982,426300.00,389826.32,10667.33,38,4,,0,2862,Amort,20140801,4,4,8262.47,51,4.00,N,Y,
38,12300,9128982,426300.00,380707.90,10667.33,38,5,,0,2862,Amort,20140901,5,5,8310.94,51,5.00,N,Y,
38,12300,9128982,426300.00,371589.48,10667.33,38,6,,0,2862,Amort,20141001,6,6,8359.70,51,6.00,N,Y,
38,12300,9128982,426300.00,362471.06,10667.33,38,7,,0,2862,Amort,20141101,7,7,8408.74,51,7.00,N,Y,
38,12300,9128982,426300.00,353352.64,10667.33,38,8,,0,2862,Amort,20141201,8,8,8458.07,51,8.00,N,Y,
38,12300,9128982,426300.00,344234.22,10667.33,38,9,,0,2862,Amort,20150101,9,9,8507.69,51,9.00,N,Y,
38,12300,9128982,426300.00,335115.80,10667.33,38,10,,0,2862,Amort,20150201,10,10,8557.60,51,10.00,N,Y,
38,12300,9128982,426300.00,325997.38,10667.33,38,11,,0,2862,Amort,20150301,11,11,8607.81,51,11.00,N,Y,
38,12300,9128982,426300.00,316878.96,10667.33,38,12,,0,2862,Amort,20150401,12,12,8658.31,51,12.00,N,Y,
38,12300,9128982,426300.00,307760.54,10667.33,38,13,,0,2862,Amort,20150501,13,13,8709.10,51,13.00,N,Y,
38,12300,9128982,426300.00,298642.12,10667.33,38,14,,0,2862,Amort,20150601,14,14,8760.20,51,14.00,N,Y,
38,12300,9128982,426300.00,289523.70,10667.33,38,15,,0,2862,Amort,20150701,15,15,8811.59,51,15.00,N,Y,
38,12300,9128982,426300.00,280405.28,10667.33,38,16,,0,2862,Amort,20150801,16,16,8863.28,51,16.00,N,Y,
38,12300,9128982,426300.00,271286.86,10667.33,38,17,,0,2862,Amort,20150901,17,17,8915.28,51,17.00,N,Y,
38,12300,9128982,426300.00,262168.44,10667.33,38,18,,0,2862,Amort,20151001,18,18,8967.58,51,18.00,N,Y,
38,12300,9128982,426300.00,253050.02,10667.33,38,19,,0,2862,Amort,20151101,19,19,9020.19,51,19.00,N,Y,
38,12300,9128982,426300.00,243931.60,10667.33,38,20,,0,2862,Amort,20151201,20,20,9073.11,51,20.00,N,Y,
38,12300,9128982,426300.00,234813.18,10667.33,38,21,,0,2862,Amort,20160101,21,21,9126.34,51,21.00,N,Y,
38,12300,9128982,426300.00,225694.76,10667.33,38,22,,0,2862,Amort,20160201,22,22,9179.88,51,22.00,N,Y,
38,12300,9128982,426300.00,216576.34,10667.33,38,23,,0,2862,Amort,20160301,23,23,9233.74,51,23.00,N,Y,
38,12300,9128982,426300.00,207457.92,10667.33,38,24,,0,2862,Amort,20160401,24,24,9287.91,51,24.00,N,Y,
38,12300,9128982,426300.00,198339.50,10667.33,38,25,,0,2862,Amort,20160501,25,25,9342.40,51,25.00,N,Y,
38,12300,9128982,426300.00,189221.08,10667.33,38,26,,0,2862,Amort,20160601,26,26,9397.21,51,26.00,N,Y,
38,12300,9128982,426300.00,180102.66,10667.33,38,27,,0,2862,Amort,20160701,27,27,9452.34,51,27.00,N,Y,
38,12300,9128982,426300.00,170984.24,10667.33,38,28,,0,2862,Amort,20160801,28,28,9507.79,51,28.00,N,Y,
38,12300,9128982,426300.00,161865.82,10667.33,38,29,,0,2862,Amort,20160901,29,29,9563.57,51,29.00,N,Y,
38,12300,9128982,426300.00,152747.40,10667.33,38,30,,0,2862,Amort,20161001,30,30,9619.68,51,30.00,N,Y,
38,12300,9128982,426300.00,143628.98,10667.33,38,31,,0,2862,Amort,20161101,31,31,9676.11,51,31.00,N,Y,
38,12300,9128982,426300.00,134510.56,10667.33,38,32,,0,2862,Amort,20161201,32,32,9732.88,51,32.00,N,Y,
38,12300,9128982,426300.00,125392.14,10667.33,38,33,,0,2862,Amort,20170101,33,33,9789.98,51,33.00,N,Y,
38,12300,9128982,426300.00,116273.72,10667.33,38,34,,0,2862,Amort,20170201,34,34,9847.41,51,34.00,N,Y,
38,12300,9128982,426300.00,107155.30,10667.33,38,35,,0,2862,Amort,20170301,35,35,9905.18,51,35.00,N,Y,
38,12300,9128982,426300.00,98036.88,10667.33,38,36,,0,2862,Amort,20170401,36,36,9963.30,51,36.00,N,Y,
38,12300,9128982,426300.00,88918.46,10667.33,38,37,,0,2862,Amort,20170501,37,37,10021.75,51,37.00,N,Y,
38,12300,9128982,426300.00,79800.04,10667.33,38,38,,0,2862,Amort,20170601,38,38,10080.54,51,38.00,N,Y,
38,12300,9128982,426300.00,70681.62,10667.33,38,39,,0,2862,Amort,20170701,39,999,0.00,51,999.00,N,Y,
38,12300,9128982,426300.00,417181.58,10667.33,38,1,,0,2868,Interest,20140501,1,1,0.00,51,1.00,Y,Y,
38,12300,9128982,426300.00,408063.16,10667.33,38,2,,0,2868,Interest,20140601,2,2,2438.74,51,2.00,Y,Y,
38,12300,9128982,426300.00,398944.74,10667.33,38,3,,0,2868,Interest,20140701,3,3,2390.83,51,3.00,Y,Y,
38,12300,9128982,426300.00,389826.32,10667.33,38,4,,0,2868,Interest,20140801,4,4,2342.64,51,4.00,Y,Y,
38,12300,9128982,426300.00,380707.90,10667.33,38,5,,0,2868,Interest,20140901,5,5,2294.17,51,5.00,Y,Y,
38,12300,9128982,426300.00,371589.48,10667.33,38,6,,0,2868,Interest,20141001,6,6,2245.41,51,6.00,Y,Y,
38,12300,9128982,426300.00,362471.06,10667.33,38,7,,0,2868,Interest,20141101,7,7,2196.37,51,7.00,Y,Y,
38,12300,9128982,426300.00,353352.64,10667.33,38,8,,0,2868,Interest,20141201,8,8,2147.04,51,8.00,Y,Y,
38,12300,9128982,426300.00,344234.22,10667.33,38,9,,0,2868,Interest,20150101,9,9,2097.42,51,9.00,Y,Y,
38,12300,9128982,426300.00,335115.80,10667.33,38,10,,0,2868,Interest,20150201,10,10,2047.51,51,10.00,Y,Y,
