FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M2265,1S,101000838,380278.06,294884.92,8659.87,50,14,,83761.25,2896,Amrt FN SG,20180501,14,14,1453.78,51,14,Y,Y
M2265,1S,101000838,380278.06,288785.41,8659.87,50,15,,83761.25,2896,Amrt FN SG,20180601,15,15,1469.03,51,15,Y,Y
M2265,1S,101000838,380278.06,282685.9,8659.87,50,16,,83761.25,2896,Amrt FN SG,20180701,16,16,1484.45,51,16,Y,Y
M2265,1S,101000838,380278.06,276586.39,8659.87,50,17,,83761.25,2896,Amrt FN SG,20180801,17,17,1500.02,51,17,Y,Y
M2265,1S,101000838,380278.06,270486.88,8659.87,50,18,,83761.25,2896,Amrt FN SG,20180901,18,18,1515.76,51,18,Y,Y
M2265,1S,101000838,380278.06,264387.37,8659.87,50,19,,83761.25,2896,Amrt FN SG,20181001,19,19,1531.66,51,19,Y,Y
M2265,1S,101000838,380278.06,258287.86,8659.87,50,20,,83761.25,2896,Amrt FN SG,20181101,20,20,1547.73,51,20,Y,Y
M2265,1S,101000838,380278.06,252188.35,8659.87,50,21,,83761.25,2896,Amrt FN SG,20181201,21,21,1563.97,51,21,Y,Y
M2265,1S,101000838,380278.06,246088.84,8659.87,50,22,,83761.25,2896,Amrt FN SG,20190101,22,22,1580.38,51,22,Y,Y
M2265,1S,101000838,380278.06,239989.33,8659.87,50,23,,83761.25,2896,Amrt FN SG,20190201,23,23,1596.96,51,23,Y,Y
M2265,1S,101000838,380278.06,233889.82,8659.87,50,24,,83761.25,2896,Amrt FN SG,20190301,24,24,1613.71,51,24,Y,Y
M2265,1S,101000838,380278.06,227790.31,8659.87,50,25,,83761.25,2896,Amrt FN SG,20190401,25,25,1630.64,51,25,Y,Y
M2265,1S,101000838,380278.06,221690.8,8659.87,50,26,,83761.25,2896,Amrt FN SG,20190501,26,26,1647.75,51,26,Y,Y
M2265,1S,101000838,380278.06,215591.29,8659.87,50,27,,83761.25,2896,Amrt FN SG,20190601,27,27,1665.04,51,27,Y,Y
M2265,1S,101000838,380278.06,209491.78,8659.87,50,28,,83761.25,2896,Amrt FN SG,20190701,28,28,1682.51,51,28,Y,Y
M2265,1S,101000838,380278.06,203392.27,8659.87,50,29,,83761.25,2896,Amrt FN SG,20190801,29,29,1700.16,51,29,Y,Y
M2265,1S,101000838,380278.06,197292.76,8659.87,50,30,,83761.25,2896,Amrt FN SG,20190901,30,30,1718,51,30,Y,Y
M2265,1S,101000838,380278.06,191193.25,8659.87,50,31,,83761.25,2896,Amrt FN SG,20191001,31,31,1736.02,51,31,Y,Y
M2265,1S,101000838,380278.06,185093.74,8659.87,50,32,,83761.25,2896,Amrt FN SG,20191101,32,32,1754.24,51,32,Y,Y
M2265,1S,101000838,380278.06,178994.23,8659.87,50,33,,83761.25,2896,Amrt FN SG,20191201,33,33,1772.64,51,33,Y,Y
M2265,1S,101000838,380278.06,172894.72,8659.87,50,34,,83761.25,2896,Amrt FN SG,20200101,34,34,1791.24,51,34,Y,Y
M2265,1S,101000838,380278.06,166795.21,8659.87,50,35,,83761.25,2896,Amrt FN SG,20200201,35,35,1810.03,51,35,Y,Y
M2265,1S,101000838,380278.06,160695.7,8659.87,50,36,,83761.25,2896,Amrt FN SG,20200301,36,36,1829.02,51,36,Y,Y
M2265,1S,101000838,380278.06,154596.19,8659.87,50,37,,83761.25,2896,Amrt FN SG,20200401,37,37,1848.21,51,37,Y,Y
M2265,1S,101000838,380278.06,148496.68,8659.87,50,38,,83761.25,2896,Amrt FN SG,20200501,38,38,1867.6,51,38,Y,Y
M2265,1S,101000838,380278.06,142397.17,8659.87,50,39,,83761.25,2896,Amrt FN SG,20200601,39,39,1887.2,51,39,Y,Y
M2265,1S,101000838,380278.06,136297.66,8659.87,50,40,,83761.25,2896,Amrt FN SG,20200701,40,40,1907,51,40,Y,Y
M2265,1S,101000838,380278.06,130198.15,8659.87,50,41,,83761.25,2896,Amrt FN SG,20200801,41,41,1927.01,51,41,Y,Y
M2265,1S,101000838,380278.06,124098.64,8659.87,50,42,,83761.25,2896,Amrt FN SG,20200901,42,42,1947.22,51,42,Y,Y
M2265,1S,101000838,380278.06,117999.13,8659.87,50,43,,83761.25,2896,Amrt FN SG,20201001,43,43,1967.65,51,43,Y,Y
M2265,1S,101000838,380278.06,111899.62,8659.87,50,44,,83761.25,2896,Amrt FN SG,20201101,44,44,1988.3,51,44,Y,Y
M2265,1S,101000838,380278.06,105800.11,8659.87,50,45,,83761.25,2896,Amrt FN SG,20201201,45,45,2009.16,51,45,Y,Y
M2265,1S,101000838,380278.06,99700.6,8659.87,50,46,,83761.25,2896,Amrt FN SG,20210101,46,46,2030.24,51,46,Y,Y
M2265,1S,101000838,380278.06,93601.09,8659.87,50,47,,83761.25,2896,Amrt FN SG,20210201,47,47,2051.54,51,47,Y,Y
M2265,1S,101000838,380278.06,87501.58,8659.87,50,48,,83761.25,2896,Amrt FN SG,20210301,48,48,2073.06,51,48,Y,Y
M2265,1S,101000838,380278.06,81402.07,8659.87,50,49,,83761.25,2896,Amrt FN SG,20210401,49,49,2094.81,51,49,Y,Y
M2265,1S,101000838,380278.06,75302.56,8659.87,50,50,,83761.25,2896,Amrt FN SG,20210501,50,50,2116.79,51,50,Y,Y
M2265,1S,101000838,380278.06,69203.05,8659.87,50,51,,83761.25,2896,Amrt FN SG,20210601,51,999,0,51,51,Y,Y
M2265,1S,101000838,380278.06,374178.55,8659.87,50,1,,83761.25,2897,Interest FN SG,20170401,1,1,0,51,1,Y,Y
M2265,1S,101000838,380278.06,368079.04,8659.87,50,2,,83761.25,2897,Interest FN SG,20170501,2,2,856.35,51,2,Y,Y
M2265,1S,101000838,380278.06,361979.53,8659.87,50,3,,83761.25,2897,Interest FN SG,20170601,3,3,842.9,51,3,Y,Y
M2265,1S,101000838,380278.06,355880.02,8659.87,50,4,,83761.25,2897,Interest FN SG,20170701,4,4,829.3,51,4,Y,Y
