FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
1013,401,8863865,369085.34,363281.44,7828.65,51,1,,0,2862,Amort,20130701,1,1,7761.70,51,1.00,N,Y,
1013,401,8863865,369085.34,357477.54,7828.65,51,2,,0,2862,Amort,20130801,2,2,4645.29,51,2.00,N,Y,
1013,401,8863865,369085.34,351673.64,7828.65,51,3,,0,2862,Amort,20130901,3,3,4685.35,51,3.00,N,Y,
1013,401,8863865,369085.34,345869.74,7828.65,51,4,,0,2862,Amort,20131001,4,4,4725.76,51,4.00,N,Y,
1013,401,8863865,369085.34,340065.84,7828.65,51,5,,0,2862,Amort,20131101,5,5,4766.52,51,5.00,N,Y,
1013,401,8863865,369085.34,334261.94,7828.65,51,6,,0,2862,Amort,20131201,6,6,4807.63,51,6.00,N,Y,
1013,401,8863865,369085.34,328458.04,7828.65,51,7,,0,2862,Amort,20140101,7,7,4849.10,51,7.00,N,Y,
1013,401,8863865,369085.34,322654.14,7828.65,51,8,,0,2862,Amort,20140201,8,8,4890.92,51,8.00,N,Y,
1013,401,8863865,369085.34,316850.24,7828.65,51,9,,0,2862,Amort,20140301,9,9,4933.11,51,9.00,N,Y,
1013,401,8863865,369085.34,311046.34,7828.65,51,10,,0,2862,Amort,20140401,10,10,4975.66,51,10.00,N,Y,
1013,401,8863865,369085.34,305242.44,7828.65,51,11,,0,2862,Amort,20140501,11,11,5018.57,51,11.00,N,Y,
1013,401,8863865,369085.34,299438.54,7828.65,51,12,,0,2862,Amort,20140601,12,12,5061.86,51,12.00,N,Y,
1013,401,8863865,369085.34,293634.64,7828.65,51,13,,0,2862,Amort,20140701,13,13,5105.52,51,13.00,N,Y,
1013,401,8863865,369085.34,287830.74,7828.65,51,14,,0,2862,Amort,20140801,14,14,5149.55,51,14.00,N,Y,
1013,401,8863865,369085.34,282026.84,7828.65,51,15,,0,2862,Amort,20140901,15,15,5193.97,51,15.00,N,Y,
1013,401,8863865,369085.34,276222.94,7828.65,51,16,,0,2862,Amort,20141001,16,16,5238.76,51,16.00,N,Y,
1013,401,8863865,369085.34,270419.04,7828.65,51,17,,0,2862,Amort,20141101,17,17,5283.95,51,17.00,N,Y,
1013,401,8863865,369085.34,264615.14,7828.65,51,18,,0,2862,Amort,20141201,18,18,5329.52,51,18.00,N,Y,
1013,401,8863865,369085.34,258811.24,7828.65,51,19,,0,2862,Amort,20150101,19,19,5375.49,51,19.00,N,Y,
1013,401,8863865,369085.34,253007.34,7828.65,51,20,,0,2862,Amort,20150201,20,20,5421.85,51,20.00,N,Y,
1013,401,8863865,369085.34,247203.44,7828.65,51,21,,0,2862,Amort,20150301,21,21,5468.62,51,21.00,N,Y,
1013,401,8863865,369085.34,241399.54,7828.65,51,22,,0,2862,Amort,20150401,22,22,5515.78,51,22.00,N,Y,
1013,401,8863865,369085.34,235595.64,7828.65,51,23,,0,2862,Amort,20150501,23,23,5563.36,51,23.00,N,Y,
1013,401,8863865,369085.34,229791.74,7828.65,51,24,,0,2862,Amort,20150601,24,24,5611.34,51,24.00,N,Y,
1013,401,8863865,369085.34,223987.84,7828.65,51,25,,0,2862,Amort,20150701,25,25,5659.74,51,25.00,N,Y,
1013,401,8863865,369085.34,218183.94,7828.65,51,26,,0,2862,Amort,20150801,26,26,5708.55,51,26.00,N,Y,
1013,401,8863865,369085.34,212380.04,7828.65,51,27,,0,2862,Amort,20150901,27,27,5757.79,51,27.00,N,Y,
1013,401,8863865,369085.34,206576.14,7828.65,51,28,,0,2862,Amort,20151001,28,28,5807.45,51,28.00,N,Y,
