FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
1885,43,9207881,130168.10,127760.09,3165.63,38,1,,0,2862,Amort,20140901,1,1,3138.63,51,1.00,N,Y,
1885,43,9207881,130168.10,125352.08,3165.63,38,2,,0,2862,Amort,20141001,2,2,2046.18,51,2.00,N,Y,
1885,43,9207881,130168.10,122944.07,3165.63,38,3,,0,2862,Amort,20141101,3,3,2063.78,51,3.00,N,Y,
1885,43,9207881,130168.10,120536.06,3165.63,38,4,,0,2862,Amort,20141201,4,4,2081.53,51,4.00,N,Y,
1885,43,9207881,130168.10,118128.05,3165.63,38,5,,0,2862,Amort,20150101,5,5,2099.43,51,5.00,N,Y,
1885,43,9207881,130168.10,115720.04,3165.63,38,6,,0,2862,Amort,20150201,6,6,2117.48,51,6.00,N,Y,
1885,43,9207881,130168.10,113312.03,3165.63,38,7,,0,2862,Amort,20150301,7,7,2135.69,51,7.00,N,Y,
1885,43,9207881,130168.10,110904.02,3165.63,38,8,,0,2862,Amort,20150401,8,8,2154.06,51,8.00,N,Y,
1885,43,9207881,130168.10,108496.01,3165.63,38,9,,0,2862,Amort,20150501,9,9,2172.59,51,9.00,N,Y,
1885,43,9207881,130168.10,106088.00,3165.63,38,10,,0,2862,Amort,20150601,10,10,2191.27,51,10.00,N,Y,
1885,43,9207881,130168.10,103679.99,3165.63,38,11,,0,2862,Amort,20150701,11,11,2210.11,51,11.00,N,Y,
1885,43,9207881,130168.10,101271.98,3165.63,38,12,,0,2862,Amort,20150801,12,12,2229.12,51,12.00,N,Y,
1885,43,9207881,130168.10,98863.97,3165.63,38,13,,0,2862,Amort,20150901,13,13,2248.29,51,13.00,N,Y,
1885,43,9207881,130168.10,96455.96,3165.63,38,14,,0,2862,Amort,20151001,14,14,2267.63,51,14.00,N,Y,
1885,43,9207881,130168.10,94047.95,3165.63,38,15,,0,2862,Amort,20151101,15,15,2287.13,51,15.00,N,Y,
1885,43,9207881,130168.10,91639.94,3165.63,38,16,,0,2862,Amort,20151201,16,16,2306.80,51,16.00,N,Y,
1885,43,9207881,130168.10,89231.93,3165.63,38,17,,0,2862,Amort,20160101,17,17,2326.64,51,17.00,N,Y,
1885,43,9207881,130168.10,86823.92,3165.63,38,18,,0,2862,Amort,20160201,18,18,2346.65,51,18.00,N,Y,
