FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
1868,38,9184813,211007.28,207103.81,4755.47,38,1,,0,2862,Amort,20140701,1,1,4727.03,51,1.00,N,Y,
1868,38,9184813,211007.28,203200.34,4755.47,38,2,,0,2862,Amort,20140801,2,2,3485.91,51,2.00,N,Y,
1868,38,9184813,211007.28,199296.87,4755.47,38,3,,0,2862,Amort,20140901,3,3,3506.88,51,3.00,N,Y,
1868,38,9184813,211007.28,195393.40,4755.47,38,4,,0,2862,Amort,20141001,4,4,3527.98,51,4.00,N,Y,
1868,38,9184813,211007.28,191489.93,4755.47,38,5,,0,2862,Amort,20141101,5,5,3549.21,51,5.00,N,Y,
1868,38,9184813,211007.28,187586.46,4755.47,38,6,,0,2862,Amort,20141201,6,6,3570.56,51,6.00,N,Y,
1868,38,9184813,211007.28,183682.99,4755.47,38,7,,0,2862,Amort,20150101,7,7,3592.04,51,7.00,N,Y,
1868,38,9184813,211007.28,179779.52,4755.47,38,8,,0,2862,Amort,20150201,8,8,3613.66,51,8.00,N,Y,
1868,38,9184813,211007.28,175876.05,4755.47,38,9,,0,2862,Amort,20150301,9,9,3635.40,51,9.00,N,Y,
1868,38,9184813,211007.28,171972.58,4755.47,38,10,,0,2862,Amort,20150401,10,10,3657.27,51,10.00,N,Y,
1868,38,9184813,211007.28,168069.11,4755.47,38,11,,0,2862,Amort,20150501,11,11,3679.28,51,11.00,N,Y,
1868,38,9184813,211007.28,164165.64,4755.47,38,12,,0,2862,Amort,20150601,12,12,3701.41,51,12.00,N,Y,
1868,38,9184813,211007.28,160262.17,4755.47,38,13,,0,2862,Amort,20150701,13,13,3723.68,51,13.00,N,Y,
1868,38,9184813,211007.28,156358.70,4755.47,38,14,,0,2862,Amort,20150801,14,14,3746.09,51,14.00,N,Y,
1868,38,9184813,211007.28,152455.23,4755.47,38,15,,0,2862,Amort,20150901,15,15,3768.63,51,15.00,N,Y,
1868,38,9184813,211007.28,148551.76,4755.47,38,16,,0,2862,Amort,20151001,16,16,3791.30,51,16.00,N,Y,
1868,38,9184813,211007.28,144648.29,4755.47,38,17,,0,2862,Amort,20151101,17,17,3814.11,51,17.00,N,Y,
1868,38,9184813,211007.28,140744.82,4755.47,38,18,,0,2862,Amort,20151201,18,18,3837.06,51,18.00,N,Y,
1868,38,9184813,211007.28,136841.35,4755.47,38,19,,0,2862,Amort,20160101,19,19,3860.15,51,19.00,N,Y,
1868,38,9184813,211007.28,132937.88,4755.47,38,20,,0,2862,Amort,20160201,20,20,3883.37,51,20.00,N,Y,
1868,38,9184813,211007.28,129034.41,4755.47,38,21,,0,2862,Amort,20160301,21,21,3906.74,51,21.00,N,Y,
1868,38,9184813,211007.28,125130.94,4755.47,38,22,,0,2862,Amort,20160401,22,22,3930.24,51,22.00,N,Y,
1868,38,9184813,211007.28,121227.47,4755.47,38,23,,0,2862,Amort,20160501,23,23,3953.89,51,23.00,N,Y,
1868,38,9184813,211007.28,117324.00,4755.47,38,24,,0,2862,Amort,20160601,24,24,3977.68,51,24.00,N,Y,
1868,38,9184813,211007.28,113420.53,4755.47,38,25,,0,2862,Amort,20160701,25,25,4001.61,51,25.00,N,Y,
1868,38,9184813,211007.28,109517.06,4755.47,38,26,,0,2862,Amort,20160801,26,26,4025.69,51,26.00,N,Y,
1868,38,9184813,211007.28,105613.59,4755.47,38,27,,0,2862,Amort,20160901,27,27,4049.91,51,27.00,N,Y,
1868,38,9184813,211007.28,101710.12,4755.47,38,28,,0,2862,Amort,20161001,28,28,4074.28,51,28.00,N,Y,
1868,38,9184813,211007.28,97806.65,4755.47,38,29,,0,2862,Amort,20161101,29,29,4098.79,51,29.00,N,Y,
1868,38,9184813,211007.28,93903.18,4755.47,38,30,,0,2862,Amort,20161201,30,30,4123.45,51,30.00,N,Y,
1868,38,9184813,211007.28,89999.71,4755.47,38,31,,0,2862,Amort,20170101,31,31,4148.26,51,31.00,N,Y,
1868,38,9184813,211007.28,86096.24,4755.47,38,32,,0,2862,Amort,20170201,32,32,4173.22,51,32.00,N,Y,
1868,38,9184813,211007.28,82192.77,4755.47,38,33,,0,2862,Amort,20170301,33,33,4198.33,51,33.00,N,Y,
1868,38,9184813,211007.28,78289.30,4755.47,38,34,,0,2862,Amort,20170401,34,34,4223.59,51,34.00,N,Y,
1868,38,9184813,211007.28,74385.83,4755.47,38,35,,0,2862,Amort,20170501,35,35,4249.00,51,35.00,N,Y,
1868,38,9184813,211007.28,70482.36,4755.47,38,36,,0,2862,Amort,20170601,36,36,4274.56,51,36.00,N,Y,
1868,38,9184813,211007.28,66578.89,4755.47,38,37,,0,2862,Amort,20170701,37,37,4300.28,51,37.00,N,Y,
1868,38,9184813,211007.28,62675.42,4755.47,38,38,,0,2862,Amort,20170801,38,38,4326.16,51,38.00,N,Y,
1868,38,9184813,211007.28,58771.95,4755.47,38,39,,0,2862,Amort,20170901,39,999,0.00,51,999.00,N,Y,
1868,38,9184813,211007.28,207103.81,4755.47,38,1,,0,2868,Interest,20140701,1,1,0.00,51,1.00,Y,Y,
1868,38,9184813,211007.28,203200.34,4755.47,38,2,,0,2868,Interest,20140801,2,2,1241.12,51,2.00,Y,Y,
1868,38,9184813,211007.28,199296.87,4755.47,38,3,,0,2868,Interest,20140901,3,3,1220.15,51,3.00,Y,Y,
1868,38,9184813,211007.28,195393.40,4755.47,38,4,,0,2868,Interest,20141001,4,4,1199.05,51,4.00,Y,Y,
1868,38,9184813,211007.28,191489.93,4755.47,38,5,,0,2868,Interest,20141101,5,5,1177.82,51,5.00,Y,Y,
1868,38,9184813,211007.28,187586.46,4755.47,38,6,,0,2868,Interest,20141201,6,6,1156.47,51,6.00,Y,Y,
1868,38,9184813,211007.28,183682.99,4755.47,38,7,,0,2868,Interest,20150101,7,7,1134.98,51,7.00,Y,Y,
1868,38,9184813,211007.28,179779.52,4755.47,38,8,,0,2868,Interest,20150201,8,8,1113.37,51,8.00,Y,Y,
1868,38,9184813,211007.28,175876.05,4755.47,38,9,,0,2868,Interest,20150301,9,9,1091.63,51,9.00,Y,Y,
1868,38,9184813,211007.28,171972.58,4755.47,38,10,,0,2868,Interest,20150401,10,10,1069.75,51,10.00,Y,Y,
1868,38,9184813,211007.28,168069.11,4755.47,38,11,,0,2868,Interest,20150501,11,11,1047.75,51,11.00,Y,Y,
1868,38,9184813,211007.28,164165.64,4755.47,38,12,,0,2868,Interest,20150601,12,12,1025.61,51,12.00,Y,Y,
1868,38,9184813,211007.28,160262.17,4755.47,38,13,,0,2868,Interest,20150701,13,13,1003.34,51,13.00,Y,Y,
1868,38,9184813,211007.28,156358.70,4755.47,38,14,,0,2868,Interest,20150801,14,14,980.94,51,14.00,Y,Y,
1868,38,9184813,211007.28,152455.23,4755.47,38,15,,0,2868,Interest,20150901,15,15,958.40,51,15.00,Y,Y,
1868,38,9184813,211007.28,148551.76,4755.47,38,16,,0,2868,Interest,20151001,16,16,935.73,51,16.00,Y,Y,
1868,38,9184813,211007.28,144648.29,4755.47,38,17,,0,2868,Interest,20151101,17,17,912.91,51,17.00,Y,Y,
1868,38,9184813,211007.28,140744.82,4755.47,38,18,,0,2868,Interest,20151201,18,18,889.97,51,18.00,Y,Y,
