FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
1610,66,8706538,373693.55,367789.19,7485.64,50,1,,0,2862,Amort,20121201,1,1,7436.06,51,1.00,N,Y,
1610,66,8706538,373693.55,361884.83,7485.64,50,2,,0,2862,Amort,20130101,2,2,4994.35,51,2.00,N,Y,
1610,66,8706538,373693.55,355980.47,7485.64,50,3,,0,2862,Amort,20130201,3,3,5027.64,51,3.00,N,Y,
1610,66,8706538,373693.55,350076.11,7485.64,50,4,,0,2862,Amort,20130301,4,4,5061.16,51,4.00,N,Y,
1610,66,8706538,373693.55,344171.75,7485.64,50,5,,0,2862,Amort,20130401,5,5,5094.90,51,5.00,N,Y,
1610,66,8706538,373693.55,338267.39,7485.64,50,6,,0,2862,Amort,20130501,6,6,5128.87,51,6.00,N,Y,
1610,66,8706538,373693.55,332363.03,7485.64,50,7,,0,2862,Amort,20130601,7,7,5163.06,51,7.00,N,Y,
1610,66,8706538,373693.55,326458.67,7485.64,50,8,,0,2862,Amort,20130701,8,8,5197.48,51,8.00,N,Y,
1610,66,8706538,373693.55,320554.31,7485.64,50,9,,0,2862,Amort,20130801,9,9,5232.13,51,9.00,N,Y,
1610,66,8706538,373693.55,314649.95,7485.64,50,10,,0,2862,Amort,20130901,10,10,5267.01,51,10.00,N,Y,
1610,66,8706538,373693.55,308745.59,7485.64,50,11,,0,2862,Amort,20131001,11,11,5302.12,51,11.00,N,Y,
1610,66,8706538,373693.55,302841.23,7485.64,50,12,,0,2862,Amort,20131101,12,12,5337.47,51,12.00,N,Y,
1610,66,8706538,373693.55,296936.87,7485.64,50,13,,0,2862,Amort,20131201,13,13,5373.05,51,13.00,N,Y,
1610,66,8706538,373693.55,291032.51,7485.64,50,14,,0,2862,Amort,20140101,14,14,5408.87,51,14.00,N,Y,
1610,66,8706538,373693.55,285128.15,7485.64,50,15,,0,2862,Amort,20140201,15,15,5444.93,51,15.00,N,Y,
1610,66,8706538,373693.55,279223.79,7485.64,50,16,,0,2862,Amort,20140301,16,16,5481.23,51,16.00,N,Y,
1610,66,8706538,373693.55,273319.43,7485.64,50,17,,0,2862,Amort,20140401,17,17,5517.77,51,17.00,N,Y,
1610,66,8706538,373693.55,267415.07,7485.64,50,18,,0,2862,Amort,20140501,18,18,5554.56,51,18.00,N,Y,
1610,66,8706538,373693.55,261510.71,7485.64,50,19,,0,2862,Amort,20140601,19,19,5591.59,51,19.00,N,Y,
